instruction;input;output
Buat komentar positif untuk inovasi di bidang transportasi umum berupa bus listrik;Pemerintah kota meluncurkan bus listrik yang beroperasi di jalur khusus, menggunakan energi terbarukan dan tidak menghasilkan emisi. Inovasi ini diharapkan bisa mengurangi polusi udara di kota;Keren banget! Bus listrik, solusi buat udara bersih kota kita! 🚌💨
Tulis komentar negatif tentang tayangan film yang memiliki alur cerita membingungkan dan tidak logis;Ulasan film fantasi terbaru yang disebut-sebut punya alur cerita yang sangat membingungkan, banyak plot hole yang tidak masuk akal, dan ending yang menggantung tanpa resolusi. Penonton merasa tidak puas;Filmnya gak jelas banget alurnya, bikin pusing dan gak ngerti! 🤯👎
Berikan komentar netral pada postingan tentang rekomendasi restoran fine dining;Seorang food reviewer membagikan daftar 5 restoran fine dining terbaik di kota dengan menu dan suasana yang mewah. Setiap restoran dilengkapi foto hidangan andalan dan rentang harga;Rekomendasi restoran fine diningnya lumayan banyak, bisa jadi ide buat acara spesial.
Buat komentar positif untuk inisiatif komunitas dalam membantu lansia;Komunitas sosial mengadakan program 'Sahabat Lansia', di mana relawan mengunjungi panti jompo untuk menemani, menghibur, dan membantu kebutuhan sehari-hari para lansia. Inisiatif ini sangat mulia dan penuh kasih;Masya Allah, mulia banget programnya, bikin hati adem! 🙏👵
Tulis komentar negatif terhadap berita yang mengandung unsur SARA dan intoleransi agama;Sebuah portal berita online mempublikasikan artikel yang berisi narasi yang menyudutkan salah satu agama, memicu kebencian dan perpecahan di masyarakat. Artikel ini jelas-jelas melanggar hukum dan etika;Berita kayak gini harusnya langsung diblokir, cuma nyebar kebencian agama! 🤬
Berikan komentar netral pada postingan tentang jadwal turnamen e-sports;Akun resmi e-sports memposting jadwal lengkap turnamen Mobile Legends tingkat nasional pekan ini, termasuk tim yang bertanding, tanggal, dan jam mulai. Informasi ini penting bagi penggemar game;Jadwal turnamen Mobile Legends udah keluar, siap-siap nonton jagoan!
Buat komentar positif untuk seorang ilmuwan muda yang menemukan vaksin baru;Seorang ilmuwan muda asal Indonesia berhasil menemukan prototipe vaksin baru untuk penyakit menular yang belum ada obatnya. Penemuan ini diharapkan bisa menyelamatkan jutaan nyawa di masa depan;Gila, keren banget! Penemuan vaksin ini bawa harapan buat banyak orang! 🔬✨
Tulis komentar negatif tentang harga tiket konser yang terlalu mahal dan tidak terjangkau;Pengumuman harga tiket konser band rock legendaris yang akan datang. Harga tiket termahal mencapai jutaan rupiah, jauh di atas kemampuan rata-rata penggemar. Banyak yang kecewa karena tidak bisa menonton;Harga tiketnya bikin nangis, kapan sih bisa nonton konser dengan harga normal? 💸😭
Berikan komentar netral pada postingan tentang rekomendasi game indie terbaru;Seorang gamer membagikan daftar 5 game indie terbaru yang wajib dimainkan karena gameplay-nya unik dan grafisnya artistik. Setiap game dilengkapi sinopsis singkat dan alasannya direkomendasikan;Rekomendasi game indie-nya lumayan banyak, bisa jadi ide buat main game baru.
Buat komentar positif untuk inisiatif sekolah dalam mempromosikan kegiatan ekstrakurikuler;Sekolah mengadakan pameran ekstrakurikuler di mana setiap ekskul menampilkan kegiatan mereka untuk menarik minat siswa baru. Ada berbagai pilihan, dari olahraga, seni, hingga robotika. Inisiatif ini mendorong siswa berprestasi di luar akademik;Program ekskulnya keren banget, banyak pilihan buat anak-anak! 📚🎉
Berikan komentar netral pada postingan tentang fakta-fakta unik tentang hewan langka;Sebuah akun edukasi memposting infografis yang menjelaskan fakta-fakta unik tentang beberapa hewan langka, seperti panda merah, badak bercula satu, dan owa jawa. Informasi disajikan secara ringkas dan menarik;Fakta-fakta hewan langkanya lumayan menarik, jadi tahu banyak hal baru.
Buat komentar positif untuk inovasi di bidang pertanian yang meningkatkan kualitas panen;Petani lokal mengembangkan pupuk organik inovatif yang terbuat dari limbah pertanian, sehingga bisa meningkatkan kualitas dan kuantitas panen tanpa merusak lingkungan. Inovasi ini sangat menjanjikan untuk pertanian berkelanjutan;Keren banget inovasi pupuk organiknya, panen melimpah dan ramah lingkungan! 🌾🌱
Tulis komentar negatif tentang praktik penipuan online yang marak berkedok bantuan sosial;Seseorang memposting pengalaman buruknya menjadi korban penipuan online yang menjanjikan bantuan sosial dari pemerintah, namun akhirnya data pribadinya dicuri dan rekeningnya dibobol. Ia berharap orang lain lebih berhati-hati;Penipuan berkedok bansos makin banyak, hati-hati jangan sampai data dicuri! 🚫 scam
Berikan komentar netral pada postingan tentang rekomendasi buku motivasi;Seorang motivator membagikan daftar 5 buku motivasi terbaik yang sangat ia rekomendasikan untuk meningkatkan semangat dan meraih tujuan hidup. Setiap buku dilengkapi sinopsis singkat dan pesan intinya;Rekomendasi buku motivasinya lumayan banyak, bisa jadi bacaan penyemangat.
Buat komentar positif untuk program beasiswa bagi pelajar berprestasi di bidang seni;Yayasan seni meluncurkan program beasiswa penuh bagi pelajar SMA berprestasi di bidang seni rupa dan musik untuk melanjutkan kuliah di perguruan tinggi seni terbaik. Program ini memberikan kesempatan emas bagi seniman muda;Program beasiswa seni ini mulia banget, bantu seniman muda meraih mimpi! 🎨🎶
Tulis komentar negatif terhadap berita yang mengandung unsur diskriminasi usia dalam pekerjaan;Sebuah media online mempublikasikan artikel yang berisi narasi yang merendahkan pekerja berusia di atas 50 tahun, mengklaim mereka kurang adaptif terhadap teknologi baru. Artikel ini memicu kemarahan publik;Berita kayak gini diskriminatif banget! Usia bukan penghalang buat bekerja! 😤
Berikan komentar netral pada postingan tentang hasil penelitian tentang manfaat olahraga;Jurnal ilmiah mempublikasikan ringkasan hasil penelitian terbaru tentang hubungan antara aktivitas fisik teratur dan penurunan risiko penyakit kronis. Hasilnya menunjukkan korelasi signifikan. Informasi bersifat ilmiah;Riset manfaat olahraga menarik, jadi tahu pentingnya aktif bergerak.
Buat komentar positif untuk inovasi di bidang kesehatan yang meningkatkan akurasi diagnosis;Startup teknologi kesehatan meluncurkan alat diagnosis medis berbasis AI yang bisa mendeteksi penyakit langka dengan tingkat akurasi tinggi, bahkan lebih cepat dari metode konvensional. Inovasi ini sangat membantu dokter;Gila, keren banget! AI bantu diagnosis penyakit, bikin pengobatan makin akurat! 🤖🩺
Tulis komentar negatif terhadap tayangan iklan produk yang mengandung klaim palsu dan tidak masuk akal;Iklan obat herbal yang mengklaim bisa menyembuhkan semua jenis penyakit dalam satu kali minum, padahal produk tersebut belum teruji klinis dan tidak ada bukti ilmiahnya. Iklan ini sangat menyesatkan dan berbahaya;Iklan penipu! Jangan percaya sama klaim obat instan kayak gini, bohong banget! 🤥
Berikan komentar netral pada postingan tentang rekomendasi film dokumenter alam;Seorang pecinta alam membagikan daftar 5 film dokumenter alam terbaik yang wajib ditonton karena menampilkan keindahan alam dan satwa liar yang menakjubkan. Setiap film dilengkapi sinopsis singkat;Rekomendasi film dokumenter alamnya lumayan banyak, bikin takjub sama alam.
Buat komentar positif untuk upaya pemulihan ekosistem sungai yang tercemar;Komunitas lingkungan bersama pemerintah membersihkan sungai yang tercemar parah oleh sampah dan limbah industri. Mereka juga menanam kembali pohon di tepi sungai. Upaya ini bertujuan mengembalikan fungsi sungai;Salut banget sama upaya bersih-bersih sungainya, penting buat lingkungan kita! 🏞️🗑️
Tulis komentar negatif terhadap berita yang menyebarkan kebencian antar ras;Sebuah media online mempublikasikan artikel yang berisi narasi provokatif dan menyebarkan kebencian terhadap salah satu ras di Indonesia, memicu perpecahan dan konflik di masyarakat. Artikel ini sangat berbahaya;Berita kayak gini harusnya langsung diblokir, cuma nyebar kebencian ras! 🤬
Berikan komentar netral pada postingan tentang tips merawat kulit berminyak;Seorang dermatologis membagikan tips perawatan kulit wajah untuk jenis kulit berminyak, termasuk rekomendasi produk non-comedogenic dan langkah-langkah rutin yang tepat. Tips ini praktis dan bisa dicoba;Tips perawatan kulit berminyaknya lumayan berguna, biar gak kusam.
